Run_ID,Mode,Task ID,Difficulty,Test Case Success,Valid Success,Critic Safety Vetoes,Critic Logic Vetoes,Final Safety Blocked,Final Logic Unresolved,Latency (s),Actual Cost ($),Iterations,Escalated,Error
1,loop_only,sum-in-a-matrix,medium,0,0,0,1,0,1,13.26,0.00091455,2,0,"Test 1 Failed. Expected 15, Got 28. Input: [[7, 2, 1], [6, 4, 2], [6, 5, 3], [3, 2, 1]]"
1,loop_only,maximum-or,medium,1,1,0,0,0,0,4.05,0.00045620000000000025,1,0,
1,loop_only,maximum-strength-of-a-group,medium,1,1,0,0,0,0,3.38,0.00042580000000000005,1,0,
1,loop_only,extra-characters-in-a-string,medium,1,1,0,0,0,0,3.87,0.00047429999999999977,1,0,
1,loop_only,number-of-adjacent-elements-with-the-same-color,medium,1,1,0,1,0,1,10.09,0.001220549999999999,2,0,
1,loop_only,power-of-heroes,hard,0,0,1,1,0,1,10.73,0.0011208500000000005,2,0,"Test 1 Failed. Expected 141, Got 89. Input: [2, 1, 4]"
1,loop_only,find-the-longest-semi-repetitive-substring,medium,1,1,0,1,0,1,10.3,0.0010114,2,0,
1,loop_only,neighboring-bitwise-xor,medium,1,1,0,1,0,0,13.78,0.0014599500000000015,2,0,
1,loop_only,find-the-punishment-number-of-an-integer,medium,0,0,0,1,0,1,9.56,0.0010484999999999956,2,0,"Test 1 Failed. Expected 182, Got 20. Input: 10"
1,loop_only,painting-the-walls,hard,0,0,1,1,1,1,12.37,0.0013960499999999976,2,0,"Test 1 Failed. Expected 3, Got 8. Input: [1, 2, 3, 2]
[1, 2, 3, 2]"
1,loop_only,collecting-chocolates,medium,0,0,0,1,0,0,7.91,0.001002999999999997,2,0,"Test 1 Failed. Expected 13, Got 36. Input: [20, 1, 15]
5"
1,loop_only,determine-the-minimum-sum-of-a-k-avoiding-array,medium,1,1,0,1,0,1,10.21,0.0008418000000000002,2,0,
1,loop_only,minimum-cost-to-make-all-characters-equal,medium,0,0,1,1,0,0,10.89,0.0015841499999999977,2,0,"Test 1 Failed. Expected 2, Got 3. Input: ""0011"""
1,loop_only,greatest-common-divisor-traversal,hard,1,1,1,1,0,1,12.75,0.0014449499999999987,2,0,
1,loop_only,lexicographically-smallest-string-after-substring-operation,medium,1,1,0,1,0,1,9.31,0.0010092000000000018,2,0,
1,loop_only,find-the-longest-equal-subarray,medium,0,0,0,0,0,0,4.34,0.0005303499999999989,1,0,"Test 1 Failed. Expected 3, Got 6. Input: [1, 3, 2, 3, 1, 3]
3"
1,loop_only,count-zero-request-servers,medium,1,1,0,1,0,1,12.21,0.0012432999999999993,2,0,
1,loop_only,relocate-marbles,medium,1,1,0,0,0,0,4.01,0.0005569500000000005,1,0,
1,loop_only,minimum-operations-to-make-the-integer-zero,medium,0,0,1,1,1,1,11.74,0.0012396999999999964,2,0,Timeout on Test 2
1,loop_only,maximum-sum-queries,hard,1,1,0,1,0,1,11.88,0.001265299999999997,2,0,
1,loop_only,find-the-value-of-the-partition,medium,1,1,0,0,0,0,4.58,0.000548899999999998,1,0,
1,loop_only,special-permutations,medium,1,1,0,1,0,0,10.56,0.001061549999999998,2,0,
1,loop_only,sum-of-imbalance-numbers-of-all-subarrays,hard,1,1,0,0,0,0,3.22,0.00044129999999999864,1,0,
1,loop_only,construct-the-longest-new-string,medium,0,0,0,1,0,1,17.44,0.0015208999999999986,2,0,"Test 1 Failed. Expected 12, Got 8. Input: 2
5
1"
1,loop_only,decremental-string-concatenation,medium,1,1,0,1,0,0,15.71,0.0017876499999999948,2,0,
1,loop_only,maximum-number-of-jumps-to-reach-the-last-index,medium,1,1,0,1,0,1,10.27,0.001103200000000002,2,0,
1,loop_only,count-complete-subarrays-in-an-array,medium,1,1,0,1,0,1,14.05,0.001024500000000001,2,0,
1,loop_only,ways-to-split-array-into-good-subarrays,medium,1,1,0,1,0,0,9.47,0.0008355999999999988,2,0,
1,loop_only,continuous-subarrays,medium,1,0,1,1,1,1,18.14,0.0010277999999999989,2,0,
1,loop_only,longest-non-decreasing-subarray-from-two-arrays,medium,1,1,0,1,0,1,11.99,0.0012651999999999872,2,0,
1,loop_only,largest-element-in-an-array-after-merge-operations,medium,0,0,0,1,0,0,8.49,0.0009250499999999967,2,0,"Test 1 Failed. Expected 21, Got 24. Input: [2, 3, 7, 9, 3]"
1,loop_only,prime-pairs-with-target-sum,medium,1,1,0,1,0,0,11.64,0.0011096000000000092,2,0,
1,loop_only,apply-operations-to-make-all-array-elements-equal-to-zero,medium,1,1,0,1,0,1,10.71,0.0010959499999999914,2,0,
1,loop_only,minimum-changes-to-make-k-semi-palindromes,hard,0,0,0,1,0,1,18.1,0.0016560000000000047,2,0,"Test 2 Failed. Expected 2, Got 3. Input: ""abcdef""
2"
1,loop_only,ways-to-express-an-integer-as-sum-of-powers,medium,1,1,0,0,0,0,4.37,0.0004398500000000055,1,0,
1,loop_only,partition-string-into-minimum-beautiful-substrings,medium,1,1,0,1,0,1,12.44,0.0011933499999999958,2,0,
1,loop_only,length-of-the-longest-valid-substring,hard,1,1,0,1,0,1,10.25,0.0010405499999999943,2,0,
1,loop_only,sort-vowels-in-a-string,medium,1,1,0,0,0,0,4.44,0.0004885999999999988,1,0,
1,loop_only,minimum-index-of-a-valid-split,medium,1,1,1,1,0,1,12.08,0.0013857000000000036,2,0,
1,loop_only,shortest-string-that-contains-three-strings,medium,1,1,1,1,0,1,17.63,0.0013422000000000002,2,0,
1,loop_only,maximum-beauty-of-an-array-after-applying-operation,medium,1,1,0,1,0,1,11.64,0.0012279500000000004,2,0,
1,loop_only,visit-array-positions-to-maximize-score,medium,1,1,1,1,0,1,11.57,0.0012285499999999997,2,0,
1,loop_only,count-of-interesting-subarrays,medium,1,1,1,1,0,1,9.21,0.0012016500000000003,2,0,
1,loop_only,check-if-it-is-possible-to-split-array,medium,0,0,1,1,1,1,12.01,0.0012677000000000018,2,0,"Test 2 Failed. Expected False, Got True. Input: [2, 1, 3]
5"
1,loop_only,maximum-number-of-groups-with-increasing-length,hard,0,0,0,1,0,0,7.68,0.0009366000000000001,2,0,"Test 2 Failed. Expected 2, Got 3. Input: [2, 1, 2]"
1,loop_only,minimum-seconds-to-equalize-a-circular-array,medium,0,0,1,1,1,1,13.21,0.001438899999999999,2,0,"Test 2 Failed. Expected 2, Got 3. Input: [2, 1, 3, 3, 2]"
1,loop_only,count-stepping-numbers-in-range,hard,0,0,1,1,1,1,12.67,0.001636399999999998,2,0,"Test 1 Failed. Expected 10, Got 1. Input: ""1""
""11"""
1,loop_only,minimum-time-to-make-array-sum-at-most-x,hard,0,0,0,1,0,1,17.72,0.0019814499999999974,2,0,"Test 1 Failed. Expected 3, Got 0. Input: [1, 2, 3]
[1, 2, 3]
4"
1,loop_only,count-pairs-of-points-with-distance-k,medium,0,0,0,1,0,1,12.02,0.0011459999999999977,2,0,"Test 2 Failed. Expected 10, Got 0. Input: [[1, 3], [1, 3], [1, 3], [1, 3], [1, 3]]
0"
1,fallback_only,maximum-or,medium,1,1,0,1,0,1,13.91,0.0080911,2,1,
1,fallback_only,maximum-strength-of-a-group,medium,1,1,0,0,0,0,2.82,0.00039194999999999855,1,0,
1,fallback_only,extra-characters-in-a-string,medium,1,1,0,1,0,1,11.65,0.005925850000000003,2,1,
1,fallback_only,count-of-integers,hard,1,0,1,1,1,1,6.09,0.0005599499999999966,1,0,
1,fallback_only,number-of-adjacent-elements-with-the-same-color,medium,1,1,0,1,0,1,15.26,0.009358950000000005,2,1,
1,fallback_only,power-of-heroes,hard,1,1,0,1,0,1,32.39,0.013685299999999997,2,1,
1,fallback_only,find-the-longest-semi-repetitive-substring,medium,1,1,0,1,0,1,18.76,0.009661799999999998,2,1,
1,fallback_only,neighboring-bitwise-xor,medium,1,1,0,1,0,1,12.09,0.006360500000000019,2,1,
1,fallback_only,find-the-punishment-number-of-an-integer,medium,1,1,0,1,0,1,11.65,0.005768550000000025,2,1,
1,fallback_only,painting-the-walls,hard,1,1,0,1,0,1,24.45,0.014570100000000016,2,1,
1,fallback_only,determine-the-minimum-sum-of-a-k-avoiding-array,medium,1,1,0,1,0,1,17.19,0.011846900000000021,2,1,
1,fallback_only,minimum-cost-to-make-all-characters-equal,medium,1,1,0,1,0,1,52.02,0.04272165000000003,2,1,
1,fallback_only,greatest-common-divisor-traversal,hard,1,0,1,1,1,1,6.65,0.0006430000000000047,1,0,
1,fallback_only,lexicographically-smallest-string-after-substring-operation,medium,1,0,1,1,1,1,5.16,0.000625699999999979,1,0,
1,fallback_only,find-the-longest-equal-subarray,medium,1,1,0,1,0,1,15.14,0.008069449999999978,2,1,
1,fallback_only,count-zero-request-servers,medium,1,1,0,1,0,1,23.49,0.014056300000000022,2,1,
1,fallback_only,relocate-marbles,medium,1,1,0,0,0,0,5.52,0.0005090500000000109,1,0,
1,fallback_only,minimum-operations-to-make-the-integer-zero,medium,1,1,0,1,0,1,68.36,0.044611949999999984,2,1,
1,fallback_only,find-the-value-of-the-partition,medium,1,1,0,0,0,0,4.01,0.0005069500000000615,1,0,
1,fallback_only,special-permutations,medium,1,1,0,1,0,1,11.09,0.004524700000000048,2,1,
1,fallback_only,sum-of-imbalance-numbers-of-all-subarrays,hard,1,1,0,1,0,1,40.31,0.028271199999999996,2,1,
1,fallback_only,construct-the-longest-new-string,medium,0,0,1,1,1,1,8.12,0.0007276499999999686,1,0,"Test 1 Failed. Expected 12, Got 14. Input: 2
5
1"
1,fallback_only,decremental-string-concatenation,medium,0,0,1,1,1,1,8.45,0.0008983000000000185,1,0,"Test 3 Failed. Expected 6, Got 7. Input: [""aaa"", ""c"", ""aba""]"
1,fallback_only,maximum-number-of-jumps-to-reach-the-last-index,medium,1,1,0,1,0,1,13.23,0.007583300000000015,2,1,
1,fallback_only,count-complete-subarrays-in-an-array,medium,1,1,0,1,0,1,12.22,0.0044829499999999856,2,1,
1,fallback_only,ways-to-split-array-into-good-subarrays,medium,1,1,0,1,0,1,13.17,0.006471500000000019,2,1,
1,fallback_only,continuous-subarrays,medium,1,1,0,1,0,1,12.02,0.004999550000000019,2,1,
1,fallback_only,longest-non-decreasing-subarray-from-two-arrays,medium,1,1,0,0,0,0,6.23,0.0006433000000000133,1,0,
1,fallback_only,largest-element-in-an-array-after-merge-operations,medium,1,1,0,1,0,1,65.64,0.04375830000000003,2,1,
1,fallback_only,prime-pairs-with-target-sum,medium,1,1,0,1,0,1,12.57,0.005514250000000054,2,1,
1,fallback_only,shortest-string-that-contains-three-strings,medium,1,1,0,1,0,1,11.85,0.005700000000000038,2,1,
1,fallback_only,apply-operations-to-make-all-array-elements-equal-to-zero,medium,1,1,0,1,0,1,15.28,0.008331750000000027,2,1,
1,fallback_only,minimum-changes-to-make-k-semi-palindromes,hard,1,0,1,1,1,1,7.47,0.0006823000000000246,1,0,
1,fallback_only,ways-to-express-an-integer-as-sum-of-powers,medium,1,1,0,1,0,1,11.35,0.005035449999999997,2,1,
1,fallback_only,partition-string-into-minimum-beautiful-substrings,medium,1,1,0,1,0,1,12.47,0.005963600000000013,2,1,
1,fallback_only,length-of-the-longest-valid-substring,hard,1,1,0,1,0,1,25.96,0.016647699999999988,2,1,
1,fallback_only,sort-vowels-in-a-string,medium,1,1,0,0,0,0,3.67,0.00042000000000003146,1,0,
1,fallback_only,minimum-index-of-a-valid-split,medium,1,0,1,1,1,1,5.29,0.0006242000000000192,1,0,
1,fallback_only,maximum-beauty-of-an-array-after-applying-operation,medium,1,1,0,1,0,1,15.18,0.007455050000000074,2,1,
1,fallback_only,visit-array-positions-to-maximize-score,medium,1,1,0,1,0,1,21.95,0.011535850000000014,2,1,
1,fallback_only,count-of-interesting-subarrays,medium,1,1,0,1,0,1,23.94,0.015474300000000052,2,1,
1,fallback_only,check-if-it-is-possible-to-split-array,medium,1,1,0,1,0,1,20.68,0.010776649999999999,2,1,
1,fallback_only,maximum-number-of-groups-with-increasing-length,hard,1,1,0,0,0,0,5.14,0.000530150000000118,1,0,
