Mode,Task ID,Success,Valid Success,Safety Veto,Latency (s),Actual Cost ($),GPT5 Baseline ($),Savings (%),Iterations,Escalated,Error
baseline,HumanEval/0,1,1,0,3.92,0.00011495,0.00284875,95.96,1,0,
baseline,HumanEval/1,1,1,0,7.22,0.0002322,0.00468625,95.05,1,0,
baseline,HumanEval/2,1,1,0,2.5,9.622500000000002e-05,0.00211875,95.46,1,0,
baseline,HumanEval/3,1,1,0,2.58,8.355e-05,0.00195,95.72,1,0,
baseline,HumanEval/4,1,1,0,4.28,0.00013060000000000003,0.00295,95.57,1,0,
baseline,HumanEval/5,1,1,0,4.86,0.000131025,0.0029850000000000002,95.61,1,0,
baseline,HumanEval/6,1,1,0,4.32,0.00016605000000000005,0.00344,95.17,1,0,
baseline,HumanEval/7,1,1,0,1.92,5.499999999999993e-05,0.00128875,95.73,1,0,
baseline,HumanEval/8,1,1,0,5.58,0.00012235000000000002,0.0030299999999999997,95.96,1,0,
baseline,HumanEval/9,1,1,0,3.97,0.00012885000000000001,0.0030275,95.74,1,0,
baseline,HumanEval/10,1,1,0,5.04,0.00017755000000000006,0.00373875,95.25,1,0,
baseline,HumanEval/11,1,1,0,3.48,0.00012362500000000004,0.0031699999999999996,96.1,1,0,
baseline,HumanEval/12,1,1,0,3.7,0.00013045000000000005,0.0030499999999999998,95.72,1,0,
baseline,HumanEval/13,1,1,0,2.39,7.037499999999991e-05,0.00177125,96.03,1,0,
baseline,HumanEval/14,1,1,0,2.11,7.430000000000002e-05,0.0017762499999999998,95.82,1,0,
baseline,HumanEval/15,1,1,0,2.18,4.8525e-05,0.00102875,95.28,1,0,
baseline,HumanEval/16,1,1,0,3.0,0.00010299999999999979,0.002365,95.64,1,0,
baseline,HumanEval/17,1,1,0,4.55,0.00016917500000000014,0.0042250000000000005,96.0,1,0,
baseline,HumanEval/18,1,1,0,4.65,0.0001438250000000002,0.0033237500000000003,95.67,1,0,
baseline,HumanEval/19,1,1,0,3.91,0.00015232500000000003,0.0035037500000000004,95.65,1,0,
baseline,HumanEval/20,1,1,0,7.33,0.00017342500000000005,0.0042425,95.91,1,0,
baseline,HumanEval/21,1,1,0,5.63,0.0001378,0.00356875,96.14,1,0,
baseline,HumanEval/22,1,1,0,2.53,8.517499999999983e-05,0.00212,95.98,1,0,
